Criptomoneda,Precio,Fecha,Horas,Minutos,Segundos
BTCUSDT,49862.05,2024-02-12,17,14,40
ETHUSDT,2621.82,2024-02-12,17,14,40
TRXUSDT,0.12515,2024-02-12,17,14,40
BTCUSDT,49862.04,2024-02-12,17,14,57
ETHUSDT,2621.81,2024-02-12,17,14,57
TRXUSDT,0.12515,2024-02-12,17,14,57
BTCUSDT,49859.98,2024-02-12,17,15,29
ETHUSDT,2622.3,2024-02-12,17,15,29
TRXUSDT,0.12516,2024-02-12,17,15,29
BTCUSDT,49867.84,2024-02-12,17,15,59
ETHUSDT,2622.08,2024-02-12,17,15,59
TRXUSDT,0.12516,2024-02-12,17,15,59
BTCUSDT,49899.98,2024-02-12,17,16,29
ETHUSDT,2624.06,2024-02-12,17,16,29
TRXUSDT,0.12517,2024-02-12,17,16,29
BTCUSDT,49898.25,2024-02-12,17,17,0
ETHUSDT,2622.06,2024-02-12,17,17,0
TRXUSDT,0.12517,2024-02-12,17,17,0
BTCUSDT,49897.99,2024-02-12,17,17,30
ETHUSDT,2622.99,2024-02-12,17,17,30
TRXUSDT,0.12517,2024-02-12,17,17,30
BTCUSDT,49902.88,2024-02-12,17,18,1
ETHUSDT,2622.69,2024-02-12,17,18,1
TRXUSDT,0.12519,2024-02-12,17,18,1
BTCUSDT,49908.01,2024-02-12,17,18,31
ETHUSDT,2623.2,2024-02-12,17,18,31
TRXUSDT,0.12518,2024-02-12,17,18,31
BTCUSDT,49840.01,2024-02-12,17,19,1
ETHUSDT,2620.19,2024-02-12,17,19,1
TRXUSDT,0.12516,2024-02-12,17,19,1
BTCUSDT,49849.07,2024-02-12,17,19,32
ETHUSDT,2621.27,2024-02-12,17,19,32
TRXUSDT,0.12515,2024-02-12,17,19,32
BTCUSDT,49876.84,2024-02-12,17,20,2
ETHUSDT,2621.19,2024-02-12,17,20,2
TRXUSDT,0.12514,2024-02-12,17,20,2
BTCUSDT,49875.0,2024-02-12,17,20,32
ETHUSDT,2622.85,2024-02-12,17,20,32
TRXUSDT,0.12515,2024-02-12,17,20,32
BTCUSDT,49872.81,2024-02-12,17,21,3
ETHUSDT,2623.31,2024-02-12,17,21,3
TRXUSDT,0.12514,2024-02-12,17,21,3
BTCUSDT,49861.09,2024-02-12,17,21,34
ETHUSDT,2623.86,2024-02-12,17,21,34
TRXUSDT,0.12515,2024-02-12,17,21,34
BTCUSDT,49876.0,2024-02-12,17,22,4
ETHUSDT,2625.4,2024-02-12,17,22,4
TRXUSDT,0.12515,2024-02-12,17,22,4
BTCUSDT,49852.94,2024-02-12,17,22,35
ETHUSDT,2624.4,2024-02-12,17,22,35
TRXUSDT,0.12514,2024-02-12,17,22,35
BTCUSDT,49852.8,2024-02-12,17,23,5
ETHUSDT,2624.98,2024-02-12,17,23,5
TRXUSDT,0.12515,2024-02-12,17,23,5
BTCUSDT,49875.53,2024-02-12,17,23,35
ETHUSDT,2627.31,2024-02-12,17,23,35
TRXUSDT,0.12518,2024-02-12,17,23,35
BTCUSDT,49875.51,2024-02-12,17,24,6
ETHUSDT,2625.84,2024-02-12,17,24,6
TRXUSDT,0.12519,2024-02-12,17,24,6
BTCUSDT,49870.0,2024-02-12,17,24,37
ETHUSDT,2625.22,2024-02-12,17,24,37
TRXUSDT,0.12518,2024-02-12,17,24,37
BTCUSDT,49856.74,2024-02-12,17,25,7
ETHUSDT,2623.41,2024-02-12,17,25,7
TRXUSDT,0.12517,2024-02-12,17,25,7
BTCUSDT,49857.42,2024-02-12,17,25,38
ETHUSDT,2622.44,2024-02-12,17,25,38
TRXUSDT,0.12514,2024-02-12,17,25,38
BTCUSDT,49897.97,2024-02-12,17,26,8
ETHUSDT,2624.9,2024-02-12,17,26,8
TRXUSDT,0.12514,2024-02-12,17,26,8
